scol;VIDE;1L;2LMmJV;3S;4LMmJV;5LMmJVS;6m;7D;8LMmJ;9V
vac_ete;VIDE;ND;2LMmJV;3S;4LMmJV;5LMmJVS;ND;7D;8LMmJ;ND
autres_vac;VIDE;ND;2LMmJV;3S;4LMmJV;5LMmJVS;ND;7D;8LMmJ;ND
LE CHEYLARD;Collège St Louis;0;0;0;0;0;0;0;0;17:05
LE CHEYLARD;Av.Saunier/GrpeScol.;04:25;05:50;07:50;08:30;11:45;12:10;16:20;17:05;ND
LE CHEYLARD;Av.de la libération;04:30;06:00;08:00;08:39;11:55;12:15;16:25;17:10;17:10
LE CHEYLARD;Gendarmerie;04:31;06:01;08:01;08:40;11:56;12:16;16:26;17:11;17:11
LE CHEYLARD;La Palisse;04:32;06:02;08:02;08:41;11:57;12:17;16:27;17:12;17:12
ST MICHEL D'AURANCE;Pailhès;04:37;06:07;08:07;08:48;12:02;12:22;16:32;17:17;17:17
ST BARTHELEMY LE MEIL;Sarny;04:39;06:09;08:09;08:50;12:04;12:24;16:34;17:19;17:19
BEAUVENE;Pont de Chervil;04:48;06:18;08:18;08:59;12:13;12:33;16:43;17:28;17:28
BEAUVENE;Le Bateau;04:50;06:20;08:20;09:01;12:15;12:35;16:45;17:30;17:30
ST MAURICE EN C;Pt du Moulinas;04:53;06:23;08:23;09:04;12:18;12:38;16:48;17:33;17:33
ST MAURICE EN C;La Roche St M.;04:58;06:28;08:28;09:06;12:23;12:43;16:53;17:38;17:38
ST SAUVEUR DE MGUT;Centre;05:02;06:32;08:32;09:12;12:27;12:47;16:57;17:42;17:42
ST SAUVEUR DE MGUT;Le Moulinon;05:03;06:33;08:33;09:14;12:28;12:48;16:58;17:43;17:43
LES OLLIERES;Escoulenc;05:05;06:35;08:35;09:16;12:30;12:50;17:00;17:45;17:45
LES OLLIERES;Veye;05:06;06:36;08:36;09:17;12:31;12:51;17:01;17:46;17:46
LES OLLIERES;Centre;05:07;06:37;08:37;09:18;12:32;12:52;17:02;17:47;17:47
LES OLLIERES;Mairie/CrtD2;05:09;06:39;08:39;09:20;12:34;12:54;17:04;17:49;17:49
LES OLLIERES;Les Plots;05:10;06:40;08:40;09:22;12:36;12:56;17:06;17:50;17:50
LES OLLIERES;La Pimpie;05:10;06:40;08:40;09:22;12:36;12:56;17:06;17:50;17:50
DUNIERE/EYRIEUX;Centre;05:14;06:44;08:44;09:24;12:40;13:00;17:10;17:54;17:54
DUNIERE/EYRIEUX;RD231/RD120;05:16;06:46;08:46;09:26;12:43;13:03;17:13;17:56;17:56
ST FORTUNAT;Centre;05:18;06:48;08:48;09:28;12:45;13:05;17:15;17:58;17:58
ST FORTUNAT;Mondon;05:20;06:50;08:50;09:30;12:47;13:07;17:17;18:00;18:00
ST FORTUNAT;Prahy;05:22;06:52;08:52;09:31;12:49;13:09;17:19;18:02;18:02
ST LAURENTDUPAPE;Hauteville;05:25;06:55;08:55;09:33;12:52;13:12;17:22;18:05;18:05
ST LAURENTDUPAPE;Beaumazet;05:26;06:56;08:56;09:34;12:53;13:13;17:23;18:06;18:06
ST LAURENTDUPAPE;Hautussac;05:27;06:57;08:57;09:35;12:54;13:14;17:24;18:07;18:07
ST LAURENTDUPAPE;Centre;05:28;06:58;08:58;09:36;12:55;13:15;17:25;18:08;18:08
ST LAURENTDUPAPE;Thoac;05:29;06:59;08:59;09:37;12:57;13:17;17:27;18:11;18:11
BEAUCHASTEL;Centre;05:32;07:02;09:02;09:40;13:00;13:20;17:30;18:15;18:15
BEAUCHASTEL;LesRamières;05:33;07:03;09:03;09:41;13:01;13:21;17:31;18:16;18:16
ST GEORGES LES B;Chateaurouge;05:34;07:04;09:04;09:42;13:02;13:22;17:32;18:17;18:17
ST GEORGES LES B;Giratoire RD 11;05:36;07:06;09:06;09:46;13:04;13:24;17:34;18:19;18:19
CHARMES;Centre;05:37;07:07;09:07;09:48;13:05;13:25;17:35;18:20;18:20
CHARMES;Levertel/Cités;05:38;07:08;09:08;09:50;13:06;13:26;17:36;18:21;18:21
CHARMES;Les 4 chemins;05:39;07:09;09:09;09:51;13:07;13:27;17:37;18:22;18:22
SOYONS;Le Vivier;05:40;07:10;09:10;09:52;13:08;13:28;17:38;18:23;18:23
SOYONS;Ventre;05:41;07:11;09:11;09:53;13:09;13:29;17:39;18:24;18:24
SOYONS;Les cités;05:42;07:12;09:12;09:54;13:10;13:30;17:40;18:25;18:25
SOYONS;Les Freydières;05:43;07:13;09:13;09:56;13:11;13:31;17:41;18:26;18:26
GUILHERAND GRANGES;Carnot;05:46;07:15;09:15;10:00;13:15;13:35;17:45;18:30;18:30
VALENCE;Champ de Mars;05:52;07:22;09:22;10:02;13:22;13:42;17:52;18:37;18:37
VALENCE;Gare Routière;05:55;07:25;09:25;10:05;13:25;13:45;17:55;18:40;18:40
